Sexe	age	Chaussures	sacados	feder	anios_pract	numer_3000	boussole/GPS	Radio/Tel	TrousSecours	id_proc	Origine	Destination
H	38	3	1	0	20	2	0	1	1	AR	Espagne	Aneto
H	23	4	1	0	5	3	1	1	1	FRA	France	Aneto
M	28	4	1	1	10	5	1	1	0	AR	Espagne	Aneto
H	33	4	1	1	15	30	0	1	0	AR	Espagne	Aneto
H	23	3	1	0	5	0	1	1	0	PV	Espagne	Aneto
H	33	3	1	1	15	2	1	1	1	CT	Espagne	Aneto
H	43	4	1	1	25	4	1	1	1	CT	Espagne	Aneto
H	28	3	1	0	10	80	0	1	0	FRA	France	Aneto
H	43	4	1	1	25	10	1	1	1	CT	Espagne	Aneto
H	38	4	1	1	20	14	1	1	1	CT	Espagne	Aneto
H	38	4	1	0	20	5	1	0	1	M	Espagne	Aneto
H	53	3	1	1	35	15	1	1	1	PV	Espagne	Aneto
M	28	3	1	1	10	15	1	1	1	M	Espagne	Aneto
M	28	3	0	1	10	10	1	1	1	M	Espagne	Aneto
H	28	3	1	1	10	10	1	1	1	M	Espagne	Aneto
H	28	3	1	1	10	10	1	1	1	M	Espagne	Aneto
H	33	3	1	0	14	20	1	0	0	CT	Espagne	Aneto
H	23	3	1	0	4	3	0	1	1	AS	Espagne	Aneto
H	28	4	1	1	9	11	1	1	1	AS	Espagne	Aneto
H	23	4	1	1	4	10	1	0	0	PV	Espagne	Aneto
H	23	2	1	0	4	2	1	1	1	VC	Espagne	Aneto
H	23	4	1	0	4	15	0	1	0	FRA	France	Aneto
H	23	5	1	1	4	3	1	1	1	CT	Espagne	Aneto
H	23	4	1	1	4	4	1	1	0	CT	Espagne	Aneto
H	28	2	1	1	9	15	1	0	1	EX	Espagne	Aneto
H	38	3	1	0	19	2	0	1	1	M	Espagne	Aneto
H	23	3	1	0	4	1	1	1	1	VC	Espagne	Aneto
H	48	3	1	1	29	300	0	1	1	AR	Espagne	Aneto
M	28	4	1	1	8	25	1	1	0	CT	Espagne	Aneto
H	23	3	1	0	3	1	1	0	1	CT	Espagne	Aneto
H	23	2	1	0	3	2	0	1	0	VC	Espagne	Aneto
H	48	4	1	0	28	5	0	0	1	CT	Espagne	Aneto
H	33	3	1	1	13	1	1	1	1	MU	Espagne	Aneto
H	28	4	1	1	8	16	1	1	1	CT	Espagne	Aneto
H	28	4	1	0	8	2	0	1	1	CT	Espagne	Aneto
M	28	4	1	0	8	2	0	1	1	CT	Espagne	Aneto
M	28	3	1	1	8	5	1	1	1	PV	Espagne	Aneto
M	23	4	1	1	3	11	1	1	1	PV	Espagne	Aneto
H	38	3	1	1	18	40	1	0	1	AR	Espagne	Aneto
H	23	3	1	0	3	2	1	1	1	FRA	France	Aneto
H	28	3	1	0	8	1	0	1	1	PV	Espagne	Aneto
H	28	3	1	0	8	1	1	1	0	CT	Espagne	Aneto
H	28	4	1	1	8	17	1	1	0	FRA	France	Aneto
H	38		1	1	18	1	1	1	1	AN	Espagne	Aneto
M	28	3	1	0	8	1	1	1	1	CM	Espagne	Aneto
M	28	4	1	1	8	6	1	1	1	NA	Espagne	Aneto
H	28	3	1	0	8	10	0	1	1	PV	Espagne	Aneto
H	23	3	1	0	3	2	0	1	1	CT	Espagne	Aneto
M	28	3	1	0	8	2	0	1	1	CT	Espagne	Aneto
H	28	4	1	0	8	20	0	1	0	POL	Autre pays	Aneto
M	28	3	1	0	8	1	0	1	0	POL	Autre pays	Aneto
M	58	3	1	1	38	160	1	1	1	CT	Espagne	Aneto
M	28	3	1	0	7	11	1	1	1	M	Espagne	Aneto
H	28	4	1	0	7	2	1	1	1	CL	Espagne	Aneto
H	38	4	1	1	17	30	0	1	1	M	Espagne	Aneto
H	33	4	0	0	12	10	1	1	1	IRL	Autre pays	Aneto
H	53	4	1	0	32	40	1	0	1	FRA	France	Aneto
M	23	4	1	1	2	25	1	1	1	FRA	France	Aneto
M	23	3	1	0	2	1	0	1	0	M	Espagne	Aneto
H	33	4	1	1	12	95	1	1	1	PV	Espagne	Aneto
M	23	3	1	1	2	10	1	1	1	FRA	France	Aneto
H	23	4	1	1	2	3	1	1	1	CT	Espagne	Aneto
H	23	4	1	0	2	2	1	1	1	CT	Espagne	Aneto
H	33	3	1	0	12	2	1	1	1	CL	Espagne	Aneto
H	23	3	1	0	2	1	0	1	1	AR	Espagne	Aneto
H	33	3	1	0	12	10	1	1	1	FRA	France	Aneto
H	23	4	1	0	2	5	1	1	0	CT	Espagne	Aneto
H	23	4	1	0	2	5	1	1	0	CT	Espagne	Aneto
H	23	3	1	0	2	2	0	1	1	CT	Espagne	Aneto
M	23	3	1	0	2	2	0	1	1	CT	Espagne	Aneto
