rang annuel;titre;nationalité;sortie;mois;entrées (millions);annee;Type;nouvelle nationalité;Intervalle d'entrées;Nationalité simplifiée;Saison de sortie
7;PODIUM;FRANCE / BELGIQUE;11/02/2004;2;3,54;2004;Comédie;FR;"[1;5[";FR;Hiver
8;FRERE DES OURS;ETATS UNIS;28/01/2004;1;3,53;2004;Animation;US;"[1;5[";US;Hiver
9;DEUX FRERES;FRANCE / GRANDE BRETAGNE;07/04/2004;4;3,31;2004;Aventure;FR;"[1;5[";FR;Printemps
10;GANG DE REQUINS;ETATS UNIS;13/10/2004;10;2,97;2004;Animation;US;"[1;5[";US;Automne
11;11 COMMANDEMENTS (LES);FRANCE;04/02/2004;2;2,96;2004;Comédie;FR;"[1;5[";FR;Hiver
12;TROIE;GRANDE BRETAGNE;13/05/2004;5;2,73;2004;Péplum;GB;"[1;5[";GB;Printemps
13;JOUR D'APRES (LE);ETATS UNIS;26/05/2004;5;2,68;2004;Science-fiction;US;"[1;5[";US;Printemps
14;ENQUETE CORSE (L');FRANCE;06/10/2004;10;2,54;2004;Comédie;FR;"[1;5[";FR;Automne
15;VILLAGE (LE);ETATS UNIS;18/08/2004;8;2,36;2004;Fantastique;US;"[1;5[";US;Été
16;FAHRENHEIT 9/11;ETATS UNIS;07/07/2004;7;2,33;2004;Documentaire;US;"[1;5[";US;Été
17;RETOUR DU ROI (LE);NOUVELLE ZELANDE;17/12/2003;12;2,22;2004;Fantasy;NZ;"[1;5[";Autre;Automne
18;DERNIER SAMOURAI (LE);ETATS UNIS;14/01/2004;1;2,20;2004;Drame;US;"[1;5[";US;Hiver
19;OCEAN'S TWELVE;ETATS UNIS;15/12/2004;12;2,11;2004;Policier/Thriller;US;"[1;5[";US;Automne
20;I, ROBOT;ETATS UNIS;28/07/2004;7;2,09;2004;Science-fiction;US;"[1;5[";US;Été
21;RIVIERES POURPRES 2 (LES);FRANCE / ITALIE / GRANDE BRETAGNE;18/02/2004;2;2,08;2004;Policier/Thriller;FR;"[1;5[";FR;Hiver
22;MARIAGES !;FRANCE;21/04/2004;4;1,96;2004;Comédie;FR;"[1;5[";FR;Printemps
23;DOUBLE ZERO;FRANCE / GRANDE BRETAGNE;16/06/2004;6;1,80;2004;Comédie d'action / d'espionnage;FR;"[1;5[";FR;Printemps
24;36 QUAI DES ORFEVRES;FRANCE;24/11/2004;11;1,68;2004;Policier/Thriller;FR;"[1;5[";FR;Automne
25;DALTON (LES);FRANCE / ALLEMAGNE / ESPAGNE;08/12/2004;12;1,68;2004;Comédie;FR;"[1;5[";FR;Automne
26;RRRRRRR !!!;FRANCE;28/01/2004;1;1,67;2004;Comédie;FR;"[1;5[";FR;Hiver
27;ROI ARTHUR (LE);ETATS UNIS;04/08/2004;8;1,60;2004;Action;US;"[1;5[";US;Été
28;COMME UNE IMAGE;FRANCE / ITALIE;22/09/2004;9;1,59;2004;Comédie dramatique;FR;"[1;5[";FR;Été
29;PASSION DU CHRIST (LA);ETATS UNIS;31/03/2004;3;1,54;2004;Drame;US;"[1;5[";US;Hiver
30;BRIDGET JONES : L'AGE DE RAISON;ETATS UNIS;08/12/2004;12;1,53;2004;Comédie dramatique;US;"[1;5[";US;Automne
31;GOTHIKA;ETATS UNIS;07/01/2004;1;1,52;2004;Policier/Thriller;US;"[1;5[";US;Hiver
32;VAN HELSING;ETATS UNIS;05/05/2004;5;1,52;2004;Fantastique;US;"[1;5[";US;Printemps
33;STARSKY ET HUTCH;ETATS UNIS;21/04/2004;4;1,51;2004;Comédie policière;US;"[1;5[";US;Printemps
34;KILL BILL VOLUME 2;ETATS UNIS;17/05/2004;5;1,47;2004;Action;US;"[1;5[";US;Printemps
35;MALABAR PRINCESS;FRANCE;03/03/2004;3;1,46;2004;Comédie dramatique;FR;"[1;5[";FR;Hiver
36;COLLATERAL;ETATS UNIS;29/09/2004;9;1,45;2004;Policier/Thriller;US;"[1;5[";US;Été
37;PETER PAN;ETATS UNIS;04/02/2004;2;1,42;2004;Fantasy;US;"[1;5[";US;Hiver
38;POLE EXPRESS (LE);ETATS UNIS;01/12/2004;12;1,37;2004;Animation;US;"[1;5[";US;Automne
39;SCOOBY-DOO 2 - LES MONSTRES SE DECHAINENT;ETATS UNIS;07/04/2004;4;1,37;2004;Comédie fantastique;US;"[1;5[";US;Printemps
40;LOST IN TRANSLATION;ETATS UNIS;07/01/2004;1;1,34;2004;Comédie dramatique;US;"[1;5[";US;Hiver
41;MONDE DE NEMO (LE);ETATS UNIS;26/11/2003;11;1,29;2004;Animation;US;"[1;5[";US;Automne
